epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3274.67,0.46555,0.41837,1.00642,0.77637,0.69565,0.73581,0.3845,1.53339,1.44404,2.05936,0.0003764,0.0003764,0.0003764
84,3308.16,0.44348,0.45292,1.01214,0.83944,0.69565,0.75497,0.39645,1.47328,1.43854,1.95795,0.0003566,0.0003566,0.0003566
85,3345.89,0.42058,0.39522,0.98085,0.91912,0.6087,0.73837,0.40906,1.42504,1.37947,1.91243,0.0003368,0.0003368,0.0003368
86,3385.33,0.46387,0.42922,1.02258,0.84194,0.69483,0.79457,0.42082,1.44294,1.33555,1.96705,0.000317,0.000317,0.000317
87,3422.6,0.47646,0.42039,1.01961,0.82865,0.65217,0.75668,0.41125,1.47414,1.33394,2.04891,0.0002972,0.0002972,0.0002972
88,3458.7,0.46369,0.41043,1.01566,1,0.59289,0.73288,0.40752,1.47015,1.3906,2.0579,0.0002774,0.0002774,0.0002774
89,3495.91,0.40429,0.38544,0.96856,1,0.60326,0.71048,0.4023,1.45379,1.38582,2.00283,0.0002576,0.0002576,0.0002576
90,3537.21,0.41891,0.40973,1.00056,0.90765,0.6087,0.7029,0.396,1.47614,1.47937,1.96979,0.0002378,0.0002378,0.0002378
91,3577.53,0.33844,0.57989,0.94657,1,0.60541,0.69442,0.3566,1.55402,1.55626,2.04114,0.000218,0.000218,0.000218
92,3613.52,0.34995,0.50618,0.98154,0.87495,0.60841,0.65991,0.31474,1.72705,1.73424,2.40896,0.0001982,0.0001982,0.0001982
93,3649.21,0.30591,0.37806,0.91064,0.79811,0.6087,0.60966,0.29942,1.73993,1.93678,2.39614,0.0001784,0.0001784,0.0001784
94,3688.69,0.55744,0.56159,1.17278,0.83722,0.52174,0.57683,0.30573,1.67294,1.86799,2.26711,0.0001586,0.0001586,0.0001586
95,3728.89,0.34033,0.42024,0.96658,0.80799,0.6087,0.64991,0.341,1.56286,1.81701,2.18708,0.0001388,0.0001388,0.0001388
96,3780.14,0.41313,0.3508,1.01382,0.82339,0.65217,0.65132,0.35307,1.43429,1.67772,2.03468,0.000119,0.000119,0.000119
97,3824.96,0.29394,0.33923,0.88906,0.82861,0.65217,0.67257,0.36736,1.39151,1.6064,1.92407,9.92e-05,9.92e-05,9.92e-05
98,3863.5,0.32732,0.34605,0.93431,0.82753,0.65217,0.68859,0.37902,1.36805,1.55202,1.8732,7.94e-05,7.94e-05,7.94e-05
99,3903.1,0.2813,0.30484,0.87478,0.87655,0.65217,0.69839,0.39632,1.32825,1.50655,1.80174,5.96e-05,5.96e-05,5.96e-05
100,3947.52,0.34735,0.35183,0.92464,0.87331,0.65217,0.6928,0.38985,1.32089,1.54391,1.77629,3.98e-05,3.98e-05,3.98e-05
